,requested,loan_purpose,credit,annual_income,apr,clicked_at
327797,5000.0,1,1,83000.0,23.1,0
109143,2500.0,2,1,30000.0,149.0,0
159488,2000.0,2,1,48000.0,199.0,0
440806,1000.0,2,1,30000.0,249.0,0
301348,34000.0,3,2,70000.0,11.7328,0
447015,1000.0,2,2,72000.0,35.99,0
127009,1000.0,2,1,48000.0,64.635,0
50072,4000.0,1,2,60000.0,98.624,0
10403,45000.0,2,2,100000.0,23.99,0
60468,1000.0,4,2,36000.0,64.731,0
89270,1000.0,4,2,108000.0,64.754,0
394768,1000.0,2,1,36000.0,98.528,0
191352,13000.0,4,1,40000.0,19.34,0
112950,4500.0,1,3,31935.0,0.3599,0
254393,2500.0,4,1,65004.0,35.99,0
54278,1000.0,2,4,36000.0,149.0,0
411338,20000.0,2,2,205000.0,35.99,0
20514,500.0,2,4,42000.0,159.0,0
241086,999.0,2,4,36000.0,208.56,0
172289,1000.0,4,2,78000.0,35.99,0
123623,2000.0,2,1,42000.0,199.0,0
279556,2500.0,4,2,60000.0,98.993,0
363685,1000.0,2,4,36000.0,159.0,0
440062,10000.0,5,2,40000.0,20.2,0
356186,17000.0,2,2,92500.0,15.62,0
239724,7000.0,3,2,70000.0,0.3599,0
430389,25000.0,3,2,70595.0,23.51,0
209625,700.0,2,4,48000.0,149.0,0
362048,7000.0,2,1,24000.0,23.54,0
424089,999.0,2,4,78000.0,149.0,0
305666,10000.0,5,1,40000.0,25.51,0
319644,10000.0,2,2,48000.0,98.656,0
262819,500.0,2,4,60000.0,249.0,0
236456,10000.0,5,1,60000.0,64.787,0
49557,25000.0,2,2,140000.0,14.16,0
396321,45000.0,5,3,166000.0,8.835,0
168360,8500.0,2,1,54000.0,98.141,0
119880,5000.0,3,1,44000.0,0.2987,0
407693,5000.0,2,2,37000.0,27.28,0
105340,100000.0,5,3,180000.0,12.868,0
438361,1000.0,2,4,24000.0,249.0,0
406690,10500.0,6,2,150000.0,19.99,0
511,20000.0,2,2,32000.0,14.56,0
59730,1000.0,2,1,18000.0,249.0,0
212676,1000.0,2,4,35000.0,199.0,0
440967,20000.0,2,4,64000.0,33.81,0
149462,500.0,2,4,36000.0,149.0,0
231345,10800.0,2,3,60000.0,35.98,0
249877,40000.0,2,2,45000.0,26.09,0
164786,500.0,2,4,48000.0,149.0,0
159481,1000.0,2,4,48000.0,149.0,0
292130,6000.0,7,1,60000.0,18.03,0
317647,1000.0,2,2,48000.0,29.99,0
339582,1000.0,2,4,24000.0,149.0,0
153803,1000.0,4,2,30000.0,449.466,0
108508,5000.0,2,3,36000.0,25.12,0
327489,5000.0,2,2,94452.0,17.37,0
158152,1000.0,2,4,40000.0,199.0,0
259517,20000.0,1,2,70000.0,18.1,0
128545,800.0,2,4,45000.0,22.98,0
2233,2000.0,2,4,60000.0,149.0,0
421091,10000.0,2,1,60000.0,35.98,0
342550,1000.0,2,4,72000.0,99.0,0
67818,5000.0,3,2,121000.0,19.79,0
444551,1000.0,2,1,48000.0,98.516,0
90384,1000.0,2,4,36000.0,149.0,0
295542,2000.0,2,1,18000.0,149.0,0
100474,1000.0,2,1,24000.0,208.56,0
345814,500.0,2,4,36000.0,149.0,0
8192,500.0,2,4,72000.0,149.0,0
